string,number,number,number,number,number,number,number,number,number,number,number
date,dealAll,dealAllArea,dealHouse,dealHouseArea,ljDeal,ljView,ljNewHCRate,ljTagPrice,ljDealPrice,newSellingHouse,sellingHouse
2016-05-29,382,33374.89,316,29659.49,520,30826,5,48193,45803,360,37387
2016-05-28,211,17876.67,181,15748.93,333,32872,5.5,48193,45803,278,37358
2016-05-27,1326,129781.88,1171,118044.85,206,9740,4.4,48193,45803,1086,37255
2016-05-26,1272,115818.95,1124,105374.67,230,9888,4,48193,45803,988,37222
2016-05-25,1161,102973.57,997,92006.16,203,9853,3.6,48193,45803,889,37211
2016-05-24,1097,101846.14,943,87545.05,240,7775,3.7,48193,45803,1013,37203
2016-05-23,1310,122003.25,1182,111793.56,378,7292,2.8,48193,45803,1113,36961
2016-05-22,138,11994.81,119,10818.43,563,32311,4.9,48193,45803,105,36873
2016-05-21,142,13107.22,118,11821.94,327,34354,5.4,48193,45803,74,36902
2016-05-20,1122,107036.65,993,97106.24,227,10692,3.9,48193,45803,946,36934
2016-05-19,1136,103110.15,995,92062.76,250,10995,3.5,48193,45803,933,36863
2016-05-18,1118,103324.26,949,92703.15,248,10608,3.5,48193,45803,952,36785
2016-05-17,1146,103944.89,992,91377.76,226,8105,3.2,48193,45803,957,36646
2016-05-16,1250,122359.62,1093,104191.15,415,8204,2.8,48193,45803,1008,36514
2016-05-15,117,9913.05,103,9277.78,478,37240,5.8,48193,45803,83,36437
2016-05-14,77,7971.82,70,7668.61,321,26135,4.8,48193,45803,74,36458
2016-05-13,1147,103113.94,1022,96160.29,208,11414,4.3,48193,45803,787,36458
2016-05-12,1385,113993.42,1035,95655.86,211,10652,4.3,48193,45803,996,36572
2016-05-11,1345,119213.14,979,95425.63,219,11079,3.6,48193,45803,899,36441
2016-05-10,1149,104638.41,1030,96771.6,230,6956,3.3,48193,45803,958,36386
2016-05-09,1188,109357.09,1053,99745.63,340,7844,2.6,48193,45803,0,0
2016-05-08,108,9918.37,85,8507.88,562,33121,4.9,48193,45803,88,36271
2016-05-07,102,9501.44,87,8329.61,562,34444,5.1,48193,45803,32,36264
2016-05-06,1066,95187.59,958,88337.47,321,34444,5.1,48193,45803,873,36319
2016-05-05,1118,100242.77,994,92272.2,193,11162,3.5,48193,45803,815,36288
2016-05-04,1015,92186.57,918,85669.31,174,10892,3.1,48193,45803,877,36306
2016-05-03,875,85241.91,777,78924.46,192,9174,2.8,48193,45803,834,36199
2016-05-02,46,5301.53,38,4490.62,210,6195,2.4,48193,45803,39,35990
2016-05-01,36,3583.14,31,3235.94,314,14361,3.1,48193,45803,12,35991
2016-04-30,787,66023.22,717,61624.91,193,24266,4.4,48193,45803,208,36007
2016-04-29,1272,123681.35,1165,115741.76,386,26519,5.5,48193,45803,1080,36485
2016-04-28,1284,117148.61,1126,104493.15,219,9325,3.8,46640,44341,995,36477
2016-04-27,1338,128832.53,1187,112697.03,203,9803,3.1,46640,44341,1084,36413
2016-04-26,1332,134599.02,1178,111869.95,225,8507,3,46640,44341,1104,36342
2016-04-25,1580,146124.67,1399,131003.13,190,6275,2.6,46640,44341,1155,36247
2016-04-24,145,13720.8,120,11654.35,354,6700,2.3,46640,44341,141,36272
2016-04-23,120,10993.37,107,10108.77,285,10624,3.1,46640,44341,87,36256
2016-04-22,1428,130289.72,1253,118904.74,207,10624,3.1,46640,44341,1181,36280
2016-04-21,1386,135115.02,1203,110157.91,200,10134,2.7,46640,44341,913,36204
2016-04-20,1556,137382.46,1368,125674.63,199,6264,2.5,46640,44341,1144,36306
2016-04-19,972,96205.42,850,81281.95,169,9535,2.7,46640,44341,785,36356
2016-04-18,1670,157006.41,1503,135544.3,199,6264,2.5,46640,44341,1140,36205
